Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Course_delivery_mode,Free_TAFE,Remarks
DIP,North Metropolitan TAFE,Perth,FNS50217 Diploma of Accounting,Business & Commerce & Finance & Accounting,,"3,271",AUD,year,6,Months,yes,yes,Not mentioned,Not mentioned,,Not mentioned,Not mentioned,,https://www.northmetrotafe.wa.edu.au/courses/diploma-accounting,English,D,"This course builds on the Certificate IV in Accounting and provides you with skills in creating manual and computerised summaries of the financial transactions of an organisation. You'll also manage a small team as a project and develop business plans. Keen to get started? We offer this course online, visit Apply and enrol for more information. I have the following attributes:",Accounts Clerk | Assistant Accountant | Accounting Manager | Financial Administration Officer | Bookkeeper | Payroll Officer | Senior Payroll Officer,Australia,no,yes,no,yes,no,Normal / Online,no,
DIP,North Metropolitan TAFE,Perth,FNS50217 Diploma of Accounting,Business & Commerce & Finance & Accounting,,"3,271",AUD,year,6,Months,yes,yes,Not mentioned,Not mentioned,,Not mentioned,Not mentioned,,https://www.northmetrotafe.wa.edu.au/courses/diploma-accounting,English,D,"This course builds on the Certificate IV in Accounting and provides you with skills in creating manual and computerised summaries of the financial transactions of an organisation. You'll also manage a small team as a project and develop business plans. Keen to get started? We offer this course online, visit Apply and enrol for more information. I have the following attributes:",Accounts Clerk | Assistant Accountant | Accounting Manager | Financial Administration Officer | Bookkeeper | Payroll Officer | Senior Payroll Officer,Australia,no,yes,no,yes,no,Normal / Online,no,
DIP,North Metropolitan TAFE,Joondalup,FNS50217 Diploma of Accounting,Business & Commerce & Finance & Accounting,,"3,271",AUD,year,6,Months,yes,yes,Not mentioned,Not mentioned,,Not mentioned,Not mentioned,,https://www.northmetrotafe.wa.edu.au/courses/diploma-accounting,English,D,"This course builds on the Certificate IV in Accounting and provides you with skills in creating manual and computerised summaries of the financial transactions of an organisation. You'll also manage a small team as a project and develop business plans. Keen to get started? We offer this course online, visit Apply and enrol for more information. I have the following attributes:",Accounts Clerk | Assistant Accountant | Accounting Manager | Financial Administration Officer | Bookkeeper | Payroll Officer | Senior Payroll Officer,Australia,no,yes,no,yes,no,Normal / Online,no,
DIP,North Metropolitan TAFE,Perth,FNS50217 Diploma of Accounting,Business & Commerce & Finance & Accounting,,"3,271",AUD,year,6,Months,yes,yes,Not mentioned,Not mentioned,,Not mentioned,Not mentioned,,https://www.northmetrotafe.wa.edu.au/courses/diploma-accounting,English,D,"This course builds on the Certificate IV in Accounting and provides you with skills in creating manual and computerised summaries of the financial transactions of an organisation. You'll also manage a small team as a project and develop business plans. Keen to get started? We offer this course online, visit Apply and enrol for more information. I have the following attributes:",Accounts Clerk | Assistant Accountant | Accounting Manager | Financial Administration Officer | Bookkeeper | Payroll Officer | Senior Payroll Officer,Australia,no,yes,no,yes,no,Normal / Online,no,
ADIP,North Metropolitan TAFE,Perth,FNS60217 Advanced Diploma of Accounting,Business & Commerce & Finance & Accounting,,"2,950",AUD,year,6,Months,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/advanced-diploma-accounting,English,D,Develop your knowledge of the accounting industry with the Advanced Diploma of Accounting. This course will provide you with the skills to take on complex accounting tasks in a range of industries. Completion of the Advanced Diploma of Accounting may lead to further study at university. I have the following attributes:,Junior Office Manager | Bookkeeper,Australia,no,yes,no,yes,no,Normal,no,
ADIP,North Metropolitan TAFE,Joondalup,FNS60217 Advanced Diploma of Accounting,Business & Commerce & Finance & Accounting,,"2,950",AUD,year,6,Months,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/advanced-diploma-accounting,English,D,Develop your knowledge of the accounting industry with the Advanced Diploma of Accounting. This course will provide you with the skills to take on complex accounting tasks in a range of industries. Completion of the Advanced Diploma of Accounting may lead to further study at university. I have the following attributes:,Junior Office Manager | Bookkeeper,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Perth,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
VOC,North Metropolitan TAFE,Perth,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
VOC,North Metropolitan TAFE,Joondalup,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
VOC,North Metropolitan TAFE,Perth,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
VOC,North Metropolitan TAFE,Perth,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
